algo, mean_error, std_error, mean_time, std_time
heuristic-0.000000-0, 0.000000, 0.000000, 131.290581, 179.644225
heuristic-0.010000-0, 0.002857, 0.003759, 90.118970, 116.760214
heuristic-0.020000-0, 0.007369, 0.007700, 60.338870, 77.378770
heuristic-0.030000-0, 0.019082, 0.005422, 45.087189, 55.195064
heuristic-0.040000-0, 0.017669, 0.016221, 46.305583, 59.888425
heuristic-0.050000-0, 0.017740, 0.015574, 39.319577, 45.846553
heuristic-0.060000-0, 0.027963, 0.018799, 31.314997, 35.772121
heuristic-0.070000-0, 0.039621, 0.016280, 27.006188, 29.437397
heuristic-0.080000-0, 0.028340, 0.026202, 22.681143, 24.192686
heuristic-0.090000-0, 0.038620, 0.027376, 21.007182, 22.104418
heuristic-0.100000-0, 0.040014, 0.029634, 20.143428, 23.512093
heuristic-0.110000-0, 0.048089, 0.033080, 20.381728, 21.930470
heuristic-0.120000-0, 0.067814, 0.034328, 14.371214, 14.672916
heuristic-0.130000-0, 0.079807, 0.021915, 17.701478, 18.081495
heuristic-0.140000-0, 0.060377, 0.040822, 14.596918, 16.063860
heuristic-0.150000-0, 0.059081, 0.038013, 14.270970, 16.606578
heuristic-0.160000-0, 0.065854, 0.041478, 15.337573, 18.907453
heuristic-0.170000-0, 0.074844, 0.031289, 14.015903, 16.099444
heuristic-0.180000-0, 0.071212, 0.044178, 11.817345, 12.852166
heuristic-0.190000-0, 0.083912, 0.060760, 13.441913, 14.612214
heuristic-0.200000-0, 0.079494, 0.059468, 10.865397, 11.922606
heuristic-0.210000-0, 0.091019, 0.063704, 12.717990, 16.994620
heuristic-0.220000-0, 0.117623, 0.048889, 11.772794, 15.264826
heuristic-0.230000-0, 0.121719, 0.050452, 13.186218, 16.984663
heuristic-0.240000-0, 0.129537, 0.054591, 13.753601, 16.500031
